# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
   12.621614357    1.471379586    1.543252764    1.511743368
   12.671696160    1.467823523    1.539157609    1.507869791
   12.721777963    1.464307162    1.535108128    1.504039605
   12.771859766    1.460829920    1.531103650    1.500252170
   12.821941569    1.457391222    1.527143515    1.496506856
   12.872023372    1.453990506    1.523227077    1.492803048
   12.922105175    1.450627219    1.519353700    1.489140138
   12.972186978    1.447300818    1.515522760    1.485517533
   13.022268781    1.444010768    1.511733644    1.481934648
   13.072350584    1.440756547    1.507985751    1.478390908
   13.122432387    1.437537641    1.504278490    1.474885752
   13.172514190    1.434353543    1.500611279    1.471418624
   13.222595993    1.431203758    1.496983548    1.467988982
   13.272677796    1.428087797    1.493394738    1.464596291
   13.322759599    1.425005183    1.489844298    1.461240027
   13.372841402    1.421955444    1.486331686    1.457919673
   13.422923205    1.418938119    1.482856372    1.454634725
   13.473005008    1.415952752    1.479417834    1.451384683
   13.523086811    1.412998898    1.476015557    1.448169060
   13.573168614    1.410076117    1.472649039    1.444987374
   13.623250417    1.407183979    1.469317783    1.441839154
   13.673332220    1.404322060    1.466021303    1.438723935
   13.723414023    1.401489943    1.462759119    1.435641262
   13.773495826    1.398687220    1.459530761    1.432590686
   13.823577629    1.395913486    1.456335767    1.429571765
   13.873659432    1.393168348    1.453173682    1.426584069
   13.923741235    1.390451416    1.450044059    1.423627169
   13.973823038    1.387762308    1.446946458    1.420700648
   14.023904841    1.385100648    1.443880447    1.417804095
   14.073986644    1.382466066    1.440845601    1.414937104
   14.124068447    1.379858199    1.437841503    1.412099277
   14.174150250    1.377276689    1.434867740    1.409290223
   14.224232053    1.374721185    1.431923910    1.406509558
   14.274313856    1.372191342    1.429009615    1.403756902
   14.324395659    1.369686818    1.426124464    1.401031885
   14.374477462    1.367207280    1.423268072    1.398334138
   14.424559265    1.364752399    1.420440061    1.395663304
   14.474641068    1.362321852    1.417640059    1.393019026
   14.524722871    1.359915319    1.414867700    1.390400958
   14.574804674    1.357532488    1.412122623    1.387808756
   14.624886477    1.355173050    1.409404476    1.385242082
   14.674968280    1.352836703    1.406712908    1.382700606
