mu_eV,T_K,PF_W_per_mK2
-3.22531,400,0
-3.22531,500,0
-3.22531,600,0
-3.21239,300,0
-3.21239,400,0
-3.21239,500,0
-3.21239,600,0
-3.19946,300,0
-3.19946,400,0
-3.19946,500,0
-3.19946,600,0
-3.18655,300,0
-3.18655,400,0
-3.18655,500,0
-3.18655,600,0
-3.17362,300,0
-3.17362,400,0
-3.17362,500,0
-3.17362,600,0
-3.1607,300,0
-3.1607,400,0
-3.1607,500,0
-3.1607,600,0
-3.14779,300,0
-3.14779,400,0
-3.14779,500,0
-3.14779,600,0
-3.13486,300,0
-3.13486,400,0
-3.13486,500,0
-3.13486,600,0
-3.12194,300,0
-3.12194,400,0
-3.12194,500,0
-3.12194,600,0
-3.10901,300,0
-3.10901,400,0
-3.10901,500,0
-3.10901,600,0
-3.0961,300,0
-3.0961,400,0
-3.0961,500,0
-3.0961,600,0
-3.08317,300,0
-3.08317,400,0
-3.08317,500,0
-3.08317,600,0
-3.07025,300,0
-3.07025,400,0
-3.07025,500,0
-3.07025,600,0
-3.05734,300,0
-3.05734,400,0
-3.05734,500,0
-3.05734,600,0
-3.04441,300,0
-3.04441,400,0
-3.04441,500,0
-3.04441,600,0
-3.03149,300,0
-3.03149,400,0
-3.03149,500,0
-3.03149,600,0
-3.01856,300,0
-3.01856,400,0
-3.01856,500,0
-3.01856,600,0
-3.00565,300,0
-3.00565,400,0
-3.00565,500,0
-3.00565,600,0
-2.99272,300,0
-2.99272,400,0
-2.99272,500,0
-2.99272,600,0
-2.9798,300,0
-2.9798,400,0
-2.9798,500,0
-2.9798,600,0
-2.96689,300,0
-2.96689,400,0
-2.96689,500,0
-2.96689,600,0
-2.95396,300,0
-2.95396,400,0
-2.95396,500,0
-2.95396,600,0
-2.94103,300,0
-2.94103,400,0
-2.94103,500,0
-2.94103,600,0
-2.92812,300,0
-2.92812,400,0
-2.92812,500,0
-2.92812,600,0
-2.9152,300,0
-2.9152,400,0
-2.9152,500,0
-2.9152,600,0
-2.90227,300,0
-2.90227,400,0
-2.90227,500,0
-2.90227,600,0
-2.88935,300,0
-2.88935,400,0
-2.88935,500,0
-2.88935,600,0
-2.87644,300,0
-2.87644,400,0
-2.87644,500,0
-2.87644,600,0
-2.86351,300,0
-2.86351,400,0
-2.86351,500,0
-2.86351,600,0
-2.85058,300,0
-2.85058,400,0
-2.85058,500,0
-2.85058,600,0
-2.83767,300,0
-2.83767,400,0
-2.83767,500,0
-2.83767,600,0
-2.82475,300,0
-2.82475,400,0
-2.82475,500,0
-2.82475,600,0
-2.81182,300,0
-2.81182,400,0
-2.81182,500,0
-2.81182,600,0
-2.7989,300,0
-2.7989,400,0
-2.7989,500,0
-2.7989,600,0
-2.78598,300,0
-2.78598,400,0
-2.78598,500,0
-2.78598,600,0
-2.77306,300,0
-2.77306,400,0
-2.77306,500,0
-2.77306,600,0
-2.76013,300,0
-2.76013,400,0
-2.76013,500,0
-2.76013,600,0
